cellI,x,y,z,S,Ux,Uy,Uz
0,0,0.01070175438,0.0007,1.964912278e-06,3.6,0,0
714,0,0.01210526315,0.0007,1.964912278e-06,3.6,0,0
1428,0,0.01350877193,0.0007,1.964912292e-06,3.6,0,0
2142,0,0.0149122807,0.0007,1.964912278e-06,3.6,0,0
2856,0,0.01631578948,0.0007,1.964912278e-06,3.6,0,0
3570,0,0.01771929824,0.0007,1.964912278e-06,3.6,0,0
4284,0,0.01912280701,0.0007,1.964912278e-06,3.6,0,0
4998,0,0.02052631579,0.0007,1.964912292e-06,3.6,0,0
5712,0,0.02192982456,0.0007,1.964912278e-06,3.6,0,0
6426,0,0.02333333334,0.0007,1.964912278e-06,3.6,0,0
7140,0,0.02473684211,0.0007,1.964912278e-06,3.6,0,0
7854,0,0.02614035087,0.0007,1.964912278e-06,3.6,0,0
8568,0,0.02754385965,0.0007,1.964912292e-06,3.6,0,0
9282,0,0.02894736843,0.0007,1.964912278e-06,3.6,0,0
9996,0,0.0303508772,0.0007,1.964912278e-06,3.6,0,0
10710,0,0.03175438596,0.0007,1.964912278e-06,3.6,0,0
11424,0,0.03315789473,0.0007,1.964912278e-06,3.6,0,0
12138,0,0.0345614035,0.0007,1.964912278e-06,3.6,0,0
12852,0,0.03596491228,0.0007,1.964912292e-06,3.6,0,0
13566,0,0.03736842105,0.0007,1.964912278e-06,3.6,0,0
14280,0,0.03877192982,0.0007,1.964912278e-06,3.6,0,0
14994,0,0.04017543859,0.0007,1.964912278e-06,3.6,0,0
15708,0,0.04157894736,0.0007,1.964912278e-06,3.6,0,0
16422,0,0.04298245614,0.0007,1.964912292e-06,3.6,0,0
17136,0,0.04438596492,0.0007,1.964912278e-06,3.6,0,0
17850,0,0.04578947368,0.0007,1.964912278e-06,3.6,0,0
18564,0,0.04719298246,0.0007,1.964912278e-06,3.6,0,0
19278,0,0.04859649122,0.0007,1.964912278e-06,3.6,0,0
19992,0,0.05,0.0007,1.964912292e-06,3.6,0,0
20706,0,0.05140350877,0.0007,1.964912278e-06,3.6,0,0
21420,0,0.05280701754,0.0007,1.964912278e-06,3.6,0,0
22134,0,0.05421052632,0.0007,1.964912278e-06,3.6,0,0
22848,0,0.05561403508,0.0007,1.964912278e-06,3.6,0,0
23562,0,0.05701754386,0.0007,1.964912292e-06,3.6,0,0
24276,0,0.05842105263,0.0007,1.964912278e-06,3.6,0,0
24990,0,0.05982456141,0.0007,1.964912278e-06,3.6,0,0
25704,0,0.06122807017,0.0007,1.964912278e-06,3.6,0,0
26418,0,0.06263157895,0.0007,1.964912278e-06,3.6,0,0
27132,0,0.06403508772,0.0007,1.964912292e-06,3.6,0,0
27846,0,0.0654385965,0.0007,1.964912278e-06,3.6,0,0
28560,0,0.06684210527,0.0007,1.964912278e-06,3.6,0,0
29274,0,0.06824561403,0.0007,1.964912278e-06,3.6,0,0
29988,0,0.0696491228,0.0007,1.964912278e-06,3.6,0,0
30702,0,0.07105263157,0.0007,1.964912278e-06,3.6,0,0
31416,0,0.07245614035,0.0007,1.964912292e-06,3.6,0,0
32130,0,0.07385964912,0.0007,1.964912278e-06,3.6,0,0
32844,0,0.07526315789,0.0007,1.964912278e-06,3.6,0,0
33558,0,0.07666666666,0.0007,1.964912278e-06,3.6,0,0
34272,0,0.07807017543,0.0007,1.964912278e-06,3.6,0,0
34986,0,0.07947368421,0.0007,1.964912292e-06,3.6,0,0
35700,0,0.08087719298,0.0007,1.964912278e-06,3.6,0,0
36414,0,0.08228070175,0.0007,1.964912278e-06,3.6,0,0
37128,0,0.08368421052,0.0007,1.964912278e-06,3.6,0,0
37842,0,0.08508771929,0.0007,1.964912278e-06,3.6,0,0
38556,0,0.08649122807,0.0007,1.964912292e-06,3.6,0,0
39270,0,0.08789473685,0.0007,1.964912278e-06,3.6,0,0
39984,0,0.08929824561,0.0007,1.964912278e-06,3.6,0,0
